;ingredient_id;name;origin;validated;ingredient_function
0;64c0df6a1cb5df1e733d55a0;1,2-HEXANEDIOL;inci;True;Excipient
1;64c0df6a1cb5df1e733d55a1;2,3-BUTANEDIOL;inci;True;
2;64c0df6a1cb5df1e733d55a2;2-BROMO-2-NITROPROPANE-1,3-DIOL;inci;True;Preservative/Antioxidant
3;64c0df6a1cb5df1e733d55a3;ABRUS PRECATORIUS ROOT EXTRACT;inci;True;
4;64c0df6a1cb5df1e733d55a4;ACACIA DECURRENS EXTRACT;inci;True;Excipient
5;64c0df6b1cb5df1e733d55a5;ACACIA SENEGAL GUM;inci;True;Excipient
6;64c0df6b1cb5df1e733d55a6;ACETONE;inci;False;
7;64c0df6b1cb5df1e733d55a7;ACETYL DIPEPTIDE-3 AMINOHEXANOATE;inci;True;Active
8;64c0df6b1cb5df1e733d55a8;ACETYL GLUTAMINE;inci;True;Excipient
9;64c0df6b1cb5df1e733d55a9;ACETYL TETRAPEPTIDE-11;inci;True;Active
10;64c0df6b1cb5df1e733d55aa;ACETYL TETRAPEPTIDE-9;inci;True;Active
11;64c0df6b1cb5df1e733d55ab;ACETYL TRIBUTYL CITRATE;inci;True;Excipient
12;64c0df6b1cb5df1e733d55ac;ACETYLATED LANOLIN ALCOHOL;inci;True;Active
13;64c0df6b1cb5df1e733d55ad;ACHILLEA MILLEFOLIUM EXTRACT;inci;True;Active
14;64c0df6b1cb5df1e733d55ae;ACMELLA OLERACEA EXTRACT;inci;True;Active
15;64c0df6b1cb5df1e733d55af;ACORUS CALAMUS ROOT EXTRACT;inci;True;Active
16;64c0df6b1cb5df1e733d55b0;ACRYLAMIDE/SODIUM ACRYLATE COPOLYMER;inci;True;Excipient
17;64c0df6b1cb5df1e733d55b1;ACRYLATES COPOLYMER;inci;True;Excipient
18;64c0df6b1cb5df1e733d55b2;ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER;inci;True;Excipient
19;64c0df6b1cb5df1e733d55b3;ACRYLATES/ETHYLHEXYL ACRYLATE COPOLYMER;inci;True;Excipient
20;64c0df6b1cb5df1e733d55b4;ACTINIOPTERIS DICHOTOMA EXTRACT;inci;True;Active
21;64c0df6b1cb5df1e733d55b5;ADANSONIA DIGITATA FRUIT EXTRACT;inci;True;
22;64c0df6b1cb5df1e733d55b6;ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE COPOLYMER;inci;True;Excipient
23;64c0df6b1cb5df1e733d55b7;AESCULUS HIPPOCASTANUM (HORSE CHESNUT) SEED EXTRACT;inci;True;
24;64c0df6b1cb5df1e733d55b8;ALCOHOL;inci;True;Excipient
25;64c0df6b1cb5df1e733d55b9;ALCOHOL DENAT.;inci;True;Excipient
26;64c0df6b1cb5df1e733d55ba;ALGAE EXTRACT;inci;True;Active
27;64c0df6b1cb5df1e733d55bb;ALGIN;inci;True;Active
28;64c0df6b1cb5df1e733d55bc;ALLANTOIN;inci;True;Active
29;64c0df6b1cb5df1e733d55bd;ALOE BARBADENSIS LEAF EXTRACT;inci;True;
30;64c0df6b1cb5df1e733d55be;ALOE BARBADENSIS LEAF JUICE;inci;True;Active
31;64c0df6b1cb5df1e733d55bf;ALOE BARBADENSIS LEAF JUICE POWDER;inci;True;Active
32;64c0df6b1cb5df1e733d55c0;ALPHA-ISOMETHYL IONONE;inci;True;
